prompt_id,category,subcategory,prompt_text,success_criteria,expected_primary_contacts,expected_root_motion,expected_arm_role,hardness,current_motionbricks_support,motionbricks_mode_hint,evaluation_notes
hrb_001,locomotion_basic,forward,Walk forward at a comfortable indoor pace with symmetric arm swing.,forward progress; upright torso; alternating foot contacts,feet,forward_or_task_dependent,expressive,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_002,locomotion_basic,slow,Walk forward slowly as if approaching a fragile object.,low speed; small steps; stable trunk,feet,forward_or_task_dependent,task_constrained,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_003,locomotion_basic,fast,Power-walk forward with brisk but non-running steps.,faster progress; no flight phase; controlled arms,feet,forward_or_task_dependent,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_004,locomotion_basic,backward,Walk backward for several steps while keeping the chest facing forward.,negative forward displacement; upright torso; no spin,feet,backward,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_005,locomotion_basic,side_left,Sidestep to the robot's left with feet never crossing.,leftward displacement; side gait; feet separated,feet,leftward,natural_or_unspecified,medium,__YES_MODE_PROXY__,walk_left,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_006,locomotion_basic,side_right,Sidestep to the robot's right with feet never crossing.,rightward displacement; side gait; feet separated,feet,rightward,natural_or_unspecified,medium,__YES_MODE_PROXY__,walk_right,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_007,locomotion_basic,turn_left,Turn in place ninety degrees to the left without traveling forward.,yaw change left; low translation; stable feet,feet,mostly_stationary,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_008,locomotion_basic,turn_right,Turn in place ninety degrees to the right without traveling forward.,yaw change right; low translation; stable feet,feet,mostly_stationary,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_009,locomotion_basic,curve,Walk along a gentle left-curving path while looking in the travel direction.,curved trajectory; heading follows path; no abrupt spin,feet,forward_or_task_dependent,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_010,locomotion_basic,stop,Walk forward and come to a balanced stop with both feet planted.,initial progress; final low velocity; double support,feet,mostly_stationary,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_011,locomotion_basic,start,Start from standing and smoothly accelerate into a walk.,standing first frames; gradual speed increase; no jump,feet,mostly_stationary,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_012,locomotion_basic,pace_change,"Walk forward, slow down for two steps, then resume normal speed.",speed modulation; forward progress; stable contacts,feet,forward_or_task_dependent,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_013,locomotion_basic,narrow,Walk forward on an imaginary narrow walkway with careful foot placement.,narrow step width; low sway; forward progress,feet,forward_or_task_dependent,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_014,locomotion_basic,wide,Walk forward with a deliberately wide stable stance.,wide step width; forward progress; upright torso,feet,forward_or_task_dependent,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_015,locomotion_basic,march,March in place with clear alternating knee lifts.,low translation; alternating high knees; regular rhythm,feet,mostly_stationary,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_016,locomotion_basic,shuffle,Shuffle forward with short low steps and minimal arm swing.,short steps; low foot clearance; low arm motion,feet,forward_or_task_dependent,expressive,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_017,terrain_obstacle,step_over_low,Step over a low obstacle with the right foot first.,right leg leads; elevated swing foot; no foot drag,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_018,terrain_obstacle,step_over_left,Step over a low obstacle with the left foot first.,left leg leads; elevated swing foot; no foot drag,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_019,terrain_obstacle,high_step,Walk forward using high steps as if crossing scattered cables.,repeated foot clearance; forward progress; no stumble,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_020,terrain_obstacle,duck_under,"Crouch slightly while walking under a low bar, then return upright.",temporary lower root height; forward progress; recovery upright,feet,turning,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_021,terrain_obstacle,slope_up,Walk forward as if climbing a shallow ramp with a slight forward lean.,forward progress; mild torso pitch; stable cadence,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_022,terrain_obstacle,slope_down,Walk forward as if descending a shallow ramp with cautious short steps.,forward progress; lower speed; stable trunk,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_023,terrain_obstacle,uneven,Cross uneven ground with cautious alternating steps and visible balance corrections.,irregular step timing; upright recovery; no collapse,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_024,terrain_obstacle,threshold,"Approach a doorway threshold, step across it, and continue walking.",approach; single higher step; resume gait,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_025,terrain_obstacle,avoid_left,Walk forward and swerve gently left around an obstacle.,forward then lateral path change; no abrupt jump,feet,leftward,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_026,terrain_obstacle,avoid_right,Walk forward and swerve gently right around an obstacle.,forward then lateral path change; no abrupt jump,feet,rightward,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_027,terrain_obstacle,step_down,Step down from a shallow platform and regain a normal walking rhythm.,one lowering event; stable landing; continue walking,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_028,terrain_obstacle,tight_turn,"Walk forward, make a compact one-hundred-eighty-degree turn, and walk back.",forward progress; 180 yaw change; return path,feet,turning,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_029,loco_manipulation,carry_front,Walk forward while carrying a small box with both hands at chest height.,hands held near chest; forward gait; reduced arm swing,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_030,loco_manipulation,carry_low,Walk forward while carrying a bag low in the right hand.,right hand low and steady; forward gait; asymmetric arm motion,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_031,loco_manipulation,tray,Walk carefully while keeping both hands level as if holding a tray.,hands level; smooth trunk; slow forward progress,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_032,loco_manipulation,push_cart,Walk forward with both hands extended as if pushing a cart.,hands forward; forward gait; stable torso,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_033,loco_manipulation,pull_cart,Walk backward with both hands forward as if pulling a cart toward the robot.,backward displacement; arms forward; no body spin,feet,backward,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_034,loco_manipulation,open_door,"Step forward, reach with the right hand as if opening a door, then pass through.",right arm reach; step-through; forward continuation,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_035,loco_manipulation,close_door,"Turn slightly, pull the right hand back as if closing a door, then stand balanced.",right arm pull; torso turn; final stable stance,feet,mostly_stationary,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_036,loco_manipulation,reach_shelf,Walk to a shelf and reach upward with both hands.,forward approach; both hands lift; no jump,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_037,loco_manipulation,place_shelf,Raise both hands to place an object on a shoulder-height shelf.,hands lift then settle; upright stance; controlled elbows,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_038,loco_manipulation,pick_table,Step to a table and reach forward with both hands to pick up an object.,approach; forward arm extension; slight torso lean,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_039,loco_manipulation,press_button,Take one step forward and press a wall button with the right index-hand pose.,short approach; right hand forward; final pause,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_040,loco_manipulation,wipe_surface,Stand in place and wipe a horizontal surface with the right hand.,stationary feet; cyclic right arm sweep; stable trunk,feet,mostly_stationary,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_041,loco_manipulation,two_hand_lift,Squat slightly and lift a light object with both hands using the legs.,knee bend; both hands low to higher; return upright,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_042,loco_manipulation,drag_object,Lean back slightly and pull an imaginary heavy object with both hands.,hands pull backward; backward lean; feet remain stable,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_043,loco_manipulation,scan_shelf,Walk slowly past a shelf while the head and torso scan left to right.,slow path; yaw oscillation; stable gait,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_044,loco_manipulation,handoff_receive,Step forward and present both hands to receive an object.,forward step; both hands open forward; final pause,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_045,loco_manipulation,handoff_give,Step forward and extend both hands as if handing over an object.,forward step; both hands extend; stable end pose,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_046,loco_manipulation,operate_panel,Stand at a control panel and alternate pressing buttons with left and right hands.,feet stationary; alternating hand reaches; low torso drift,feet,mostly_stationary,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_047,manipulation_stance,bend_pick,Bend at the knees to pick up a small object from the floor with the right hand.,root lowers; right hand reaches floor; recover upright,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_048,manipulation_stance,left_pick,Bend at the knees to pick up a small object from the floor with the left hand.,root lowers; left hand reaches floor; recover upright,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_049,manipulation_stance,kneel_inspect,Lower into a kneeling inspection pose and look toward the floor.,root lowers substantially; one knee near floor; controlled posture,feet;knee,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_050,manipulation_stance,tool_use,Stand and make a two-handed twisting motion as if using a screwdriver.,feet stable; hands near midline; cyclic forearm twist,feet,mostly_stationary,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
